,title_start,title_end,distance,soc_start,soc_end,startingjob_count,startingjob_trend,targetjob_count,targetjob_trend
0,operations manager,operations manager,1.0,0,0,101.0,-0.26277372262773724,101.0,-0.26277372262773724
1,leader,operations manager,0.9850627707032834,271,0,3.0,0.5,101.0,-0.26277372262773724
2,service manager,operations manager,0.9901005606166298,329,0,25.0,-0.4318181818181818,101.0,-0.26277372262773724
3,district manager,operations manager,0.9911062759003388,370,0,9.0,-0.3076923076923077,101.0,-0.26277372262773724
4,area director,operations manager,0.9739257550415592,411,0,0.0,0.0,101.0,-0.26277372262773724
5,facility manager,operations manager,0.9734616351919674,439,0,8.0,-0.2,101.0,-0.26277372262773724
6,assistant property manager,operations manager,0.9673649195863219,647,0,9.0,-0.3076923076923077,101.0,-0.26277372262773724
7,quality assurance supervisor,operations manager,0.9655145235233793,767,0,3.0,-0.6666666666666666,101.0,-0.26277372262773724
8,hr specialist,operations manager,0.9745262933626175,796,0,1.0,-0.6666666666666666,101.0,-0.26277372262773724
9,scheduler,operations manager,0.9861952717982104,869,0,14.0,-0.46153846153846156,101.0,-0.26277372262773724
10,product specialist,operations manager,0.9783742848350128,1014,0,17.0,-0.15,101.0,-0.26277372262773724
11,site manager,operations manager,0.9673972755787593,1063,0,9.0,-0.35714285714285715,101.0,-0.26277372262773724
12,field manager,operations manager,0.9813442294763859,1266,0,2.0,1.0,101.0,-0.26277372262773724
13,tracker,operations manager,0.9783536136173618,1489,0,0.0,,101.0,-0.26277372262773724
14,land development manager,operations manager,0.9801530640150067,1603,0,3.0,,101.0,-0.26277372262773724
15,operations manager,district manager,0.9911062759003388,0,370,101.0,-0.26277372262773724,9.0,-0.3076923076923077
16,service manager,district manager,0.9885379539796363,329,370,25.0,-0.4318181818181818,9.0,-0.3076923076923077
17,district manager,district manager,1.0,370,370,9.0,-0.3076923076923077,9.0,-0.3076923076923077
18,area director,district manager,0.9704721280691321,411,370,0.0,0.0,9.0,-0.3076923076923077
19,quality assurance supervisor,district manager,0.961648594254285,767,370,3.0,-0.6666666666666666,9.0,-0.3076923076923077
20,tracker,district manager,0.9829477265947311,1489,370,0.0,,9.0,-0.3076923076923077
21,operations supervisor,district manager,0.9734625574882816,127,370,49.0,-0.45555555555555555,9.0,-0.3076923076923077
22,general manager,district manager,0.977163442550128,350,370,97.0,-0.21138211382113822,9.0,-0.3076923076923077
23,executive recruiter,district manager,0.9647814724354622,1638,370,0.0,0.0,9.0,-0.3076923076923077
24,guns,district manager,0.9741272832410579,2724,370,0.0,,9.0,-0.3076923076923077
25,operations manager,service manager,0.9901005606166298,0,329,101.0,-0.26277372262773724,25.0,-0.4318181818181818
26,service manager,service manager,1.0,329,329,25.0,-0.4318181818181818,25.0,-0.4318181818181818
27,district manager,service manager,0.9885379539796363,370,329,9.0,-0.3076923076923077,25.0,-0.4318181818181818
28,area director,service manager,0.9725243794427254,411,329,0.0,0.0,25.0,-0.4318181818181818
29,quality assurance supervisor,service manager,0.962598705509129,767,329,3.0,-0.6666666666666666,25.0,-0.4318181818181818
30,hr specialist,service manager,0.9797987731137168,796,329,1.0,-0.6666666666666666,25.0,-0.4318181818181818
31,product specialist,service manager,0.9873562582294015,1014,329,17.0,-0.15,25.0,-0.4318181818181818
32,field manager,service manager,0.9796348892942921,1266,329,2.0,1.0,25.0,-0.4318181818181818
33,land development manager,service manager,0.9749406391743506,1603,329,3.0,,25.0,-0.4318181818181818
34,operations supervisor,service manager,0.9754549418385239,127,329,49.0,-0.45555555555555555,25.0,-0.4318181818181818
35,team leader,service manager,0.9678043207176261,43,329,28.0,-0.391304347826087,25.0,-0.4318181818181818
36,sales,service manager,0.9886272977472479,82,329,8.0,-0.8,25.0,-0.4318181818181818
37,commercial specialist,service manager,0.9720373482186033,2151,329,0.0,,25.0,-0.4318181818181818
38,quality auditor,service manager,0.9612040798561335,2154,329,4.0,0.3333333333333333,25.0,-0.4318181818181818
39,operations manager,scheduler,0.9861952717982104,0,869,101.0,-0.26277372262773724,14.0,-0.46153846153846156
40,hr specialist,scheduler,0.9678662659132371,796,869,1.0,-0.6666666666666666,14.0,-0.46153846153846156
41,scheduler,scheduler,1.0,869,869,14.0,-0.46153846153846156,14.0,-0.46153846153846156
42,inside sales,scheduler,0.9835823308232546,20,869,11.0,-0.5217391304347826,14.0,-0.46153846153846156
43,customer service supervisor,scheduler,0.9868783636599009,235,869,2.0,-0.8333333333333334,14.0,-0.46153846153846156
44,operations coordinator,scheduler,0.9864448218327977,325,869,12.0,-0.6842105263157895,14.0,-0.46153846153846156
45,customer service manager,scheduler,0.9944247415936023,415,869,19.0,-0.7865168539325843,14.0,-0.46153846153846156
46,help desk specialist,scheduler,0.9650414145335879,1468,869,3.0,-0.5,14.0,-0.46153846153846156
47,real estate associate,scheduler,0.9721390064579849,1598,869,0.0,0.0,14.0,-0.46153846153846156
48,operations manager,leader,0.9850627707032834,0,271,101.0,-0.26277372262773724,3.0,0.5
49,leader,leader,1.0,271,271,3.0,0.5,3.0,0.5
50,field manager,leader,0.9784849620007852,1266,271,2.0,1.0,3.0,0.5
51,project assistant,leader,0.9741816382365982,274,271,5.0,-0.6875,3.0,0.5
52,business development manager,leader,0.9802438912339269,385,271,87.0,-0.3602941176470588,3.0,0.5
53,department manager,leader,0.9714096593630605,1841,271,15.0,-0.6341463414634146,3.0,0.5
54,operations manager,customer service manager,0.9841189454843045,0,415,101.0,-0.26277372262773724,19.0,-0.7865168539325843
55,scheduler,customer service manager,0.9944247415936023,869,415,14.0,-0.46153846153846156,19.0,-0.7865168539325843
56,tracker,customer service manager,0.9722040373937881,1489,415,0.0,,19.0,-0.7865168539325843
57,inside sales,customer service manager,0.9840064810429755,20,415,11.0,-0.5217391304347826,19.0,-0.7865168539325843
58,customer service supervisor,customer service manager,0.989473541644827,235,415,2.0,-0.8333333333333334,19.0,-0.7865168539325843
59,operations coordinator,customer service manager,0.9898434049833151,325,415,12.0,-0.6842105263157895,19.0,-0.7865168539325843
60,customer service manager,customer service manager,1.0,415,415,19.0,-0.7865168539325843,19.0,-0.7865168539325843
61,help desk specialist,customer service manager,0.9572460887842791,1468,415,3.0,-0.5,19.0,-0.7865168539325843
62,account manager,customer service manager,0.9908331074388008,29,415,105.0,-0.5849802371541502,19.0,-0.7865168539325843
63,branch manager,customer service manager,0.9859577016268404,37,415,48.0,-0.5675675675675675,19.0,-0.7865168539325843
64,customer service specialist,customer service manager,0.9869682806677915,51,415,14.0,-0.6744186046511628,19.0,-0.7865168539325843
65,representative,customer service manager,0.9858777731066954,196,415,0.0,,19.0,-0.7865168539325843
66,recruiting coordinator,customer service manager,0.9857195824740002,903,415,0.0,0.0,19.0,-0.7865168539325843
67,access coordinator,customer service manager,0.9848803532732662,915,415,0.0,0.0,19.0,-0.7865168539325843
68,operations specialist,customer service manager,0.9867991829874986,1168,415,1.0,-0.9473684210526315,19.0,-0.7865168539325843
69,property manager,customer service manager,0.9762265626515749,1273,415,35.0,-0.3,19.0,-0.7865168539325843
70,service secretary,customer service manager,0.9661088528503359,1397,415,0.0,,19.0,-0.7865168539325843
71,corporate recruiter,customer service manager,0.9841465513969077,1889,415,1.0,-0.6666666666666666,19.0,-0.7865168539325843
72,recruiting manager,customer service manager,0.9866537084544543,1969,415,0.0,0.0,19.0,-0.7865168539325843
73,operations manager,operations coordinator,0.9819691254979532,0,325,101.0,-0.26277372262773724,12.0,-0.6842105263157895
74,service manager,operations coordinator,0.9766799197467035,329,325,25.0,-0.4318181818181818,12.0,-0.6842105263157895
75,district manager,operations coordinator,0.976521548454131,370,325,9.0,-0.3076923076923077,12.0,-0.6842105263157895
76,area director,operations coordinator,0.975224859098822,411,325,0.0,0.0,12.0,-0.6842105263157895
77,facility manager,operations coordinator,0.9706886082525081,439,325,8.0,-0.2,12.0,-0.6842105263157895
78,scheduler,operations coordinator,0.9864448218327977,869,325,14.0,-0.46153846153846156,12.0,-0.6842105263157895
79,product specialist,operations coordinator,0.9762239076728829,1014,325,17.0,-0.15,12.0,-0.6842105263157895
80,general manager,operations coordinator,0.9769041455975391,350,325,97.0,-0.21138211382113822,12.0,-0.6842105263157895
81,executive recruiter,operations coordinator,0.966299086522028,1638,325,0.0,0.0,12.0,-0.6842105263157895
82,commercial specialist,operations coordinator,0.9614188220902269,2151,325,0.0,,12.0,-0.6842105263157895
83,operations coordinator,operations coordinator,1.0,325,325,12.0,-0.6842105263157895,12.0,-0.6842105263157895
84,customer service manager,operations coordinator,0.9898434049833151,415,325,19.0,-0.7865168539325843,12.0,-0.6842105263157895
85,representative,operations coordinator,0.9858204858996256,196,325,0.0,,12.0,-0.6842105263157895
86,access coordinator,operations coordinator,0.9833940722993175,915,325,0.0,0.0,12.0,-0.6842105263157895
87,operations specialist,operations coordinator,0.9880857571166646,1168,325,1.0,-0.9473684210526315,12.0,-0.6842105263157895
88,inventory analyst,operations coordinator,0.9752647666532166,17,325,8.0,-0.38461538461538464,12.0,-0.6842105263157895
89,customer service representatives,operations coordinator,0.9842746732197235,251,325,7.0,-0.3,12.0,-0.6842105263157895
90,planning manager,operations coordinator,0.982265138416716,471,325,0.0,0.0,12.0,-0.6842105263157895
91,order entry clerk,operations coordinator,0.9838241416278314,2109,325,5.0,1.5,12.0,-0.6842105263157895
92,table games shift manager,operations coordinator,0.9640809256196182,2899,325,0.0,,12.0,-0.6842105263157895
93,operations manager,field manager,0.9813442294763859,0,1266,101.0,-0.26277372262773724,2.0,1.0
94,leader,field manager,0.9784849620007852,271,1266,3.0,0.5,2.0,1.0
95,service manager,field manager,0.9796348892942921,329,1266,25.0,-0.4318181818181818,2.0,1.0
96,assistant property manager,field manager,0.9686161390138076,647,1266,9.0,-0.3076923076923077,2.0,1.0
97,product specialist,field manager,0.9786351250356278,1014,1266,17.0,-0.15,2.0,1.0
98,field manager,field manager,1.0,1266,1266,2.0,1.0,2.0,1.0
99,team leader,field manager,0.9860052498500507,43,1266,28.0,-0.391304347826087,2.0,1.0
100,department manager,field manager,0.9779157034411071,1841,1266,15.0,-0.6341463414634146,2.0,1.0
101,supervisor,field manager,0.9804337564050223,1,1266,43.0,-0.635593220338983,2.0,1.0
102,field assistant,field manager,0.9673038862347402,310,1266,2.0,,2.0,1.0
103,coach,field manager,0.9658933907477574,940,1266,6.0,-0.25,2.0,1.0
104,coach,field manager,0.9658933907477574,940,1266,6.0,-0.25,2.0,1.0
105,maintenance director,field manager,0.9527307030286523,1669,1266,0.0,0.0,2.0,1.0
106,parts specialist,field manager,0.9746646719544856,1676,1266,6.0,-0.625,2.0,1.0
107,parts specialist,field manager,0.9746646719544856,1676,1266,6.0,-0.625,2.0,1.0
108,customer account technician,field manager,0.9499668102797825,2842,1266,0.0,,2.0,1.0
109,operations manager,land development manager,0.9801530640150067,0,1603,101.0,-0.26277372262773724,3.0,
110,land development manager,land development manager,1.0,1603,1603,3.0,,3.0,
111,commercial,land development manager,0.98123247724253,333,1603,0.0,,3.0,
112,logistics analysts,land development manager,0.9685387669932728,462,1603,0.0,,3.0,
113,shift superintendent,land development manager,0.9785551887375814,1599,1603,0.0,0.0,3.0,
114,production superintendent,land development manager,0.9785551887375814,1600,1603,2.0,0.0,3.0,
115,transportation planners,land development manager,0.9779113139375377,1733,1603,0.0,,3.0,
116,logistics supervisor,land development manager,0.9758896589311776,1809,1603,29.0,-0.19444444444444445,3.0,
117,field service manager,land development manager,0.9625104191149985,2103,1603,1.0,0.0,3.0,
118,assurance senior,land development manager,0.9675374815795207,2513,1603,0.0,,3.0,
119,operations dispatch,land development manager,0.9720699585889001,2564,1603,0.0,,3.0,
120,operations manager,planning manager,0.9795990363847409,0,471,101.0,-0.26277372262773724,0.0,0.0
121,area director,planning manager,0.9723609172549884,411,471,0.0,0.0,0.0,0.0
122,quality assurance supervisor,planning manager,0.9577743323340846,767,471,3.0,-0.6666666666666666,0.0,0.0
123,general manager,planning manager,0.9839511552467018,350,471,97.0,-0.21138211382113822,0.0,0.0
124,planning manager,planning manager,1.0,471,471,0.0,0.0,0.0,0.0
125,supervisor,planning manager,0.9750836095813168,1,471,43.0,-0.635593220338983,0.0,0.0
126,regional director,planning manager,0.9740752669956838,374,471,1.0,,0.0,0.0
127,community coordinator,planning manager,0.9604371571591308,522,471,3.0,-0.4,0.0,0.0
128,leader,specialist,0.9807815295612572,271,6,3.0,0.5,7.0,-0.125
129,department manager,specialist,0.9713419320568578,1841,6,15.0,-0.6341463414634146,7.0,-0.125
130,planning manager,specialist,0.9823777066943657,471,6,0.0,0.0,7.0,-0.125
131,supervisor,specialist,0.9742505839727806,1,6,43.0,-0.635593220338983,7.0,-0.125
132,assistant,specialist,0.9816928235272039,114,6,6.0,-0.14285714285714285,7.0,-0.125
133,coordinator,specialist,0.9925340807911626,255,6,18.0,-0.25,7.0,-0.125
134,specialist,specialist,1.0,6,6,7.0,-0.125,7.0,-0.125
135,service coordinator,specialist,0.9772098064888997,132,6,18.0,-0.788235294117647,7.0,-0.125
136,payroll coordinator,specialist,0.9773502015209792,685,6,9.0,-0.55,7.0,-0.125
137,administrator,specialist,0.9884411108778233,12,6,36.0,-0.34545454545454546,7.0,-0.125
138,administrator,specialist,0.9884411108778233,12,6,36.0,-0.34545454545454546,7.0,-0.125
139,recruiter,specialist,0.9888127569840587,45,6,11.0,-0.7441860465116279,7.0,-0.125
140,recruiter,specialist,0.9888127569840587,45,6,11.0,-0.7441860465116279,7.0,-0.125
141,recruiter,specialist,0.9888127569840587,45,6,11.0,-0.7441860465116279,7.0,-0.125
142,project coordinator,specialist,0.9838240211114107,275,6,113.0,-0.5,7.0,-0.125
143,leader,manager,0.9825087672166888,271,64,3.0,0.5,155.0,1.0945945945945945
144,leader,manager,0.9825087672166888,271,64,3.0,0.5,155.0,1.0945945945945945
145,area director,manager,0.9746663773266283,411,64,0.0,0.0,155.0,1.0945945945945945
146,area director,manager,0.9746663773266283,411,64,0.0,0.0,155.0,1.0945945945945945
147,business development manager,manager,0.9862763648019763,385,64,87.0,-0.3602941176470588,155.0,1.0945945945945945
148,business development manager,manager,0.9862763648019763,385,64,87.0,-0.3602941176470588,155.0,1.0945945945945945
149,planning manager,manager,0.98152593758788,471,64,0.0,0.0,155.0,1.0945945945945945
150,planning manager,manager,0.98152593758788,471,64,0.0,0.0,155.0,1.0945945945945945
151,contracts specialist,contract manager,0.9878823940760253,417,1030,6.0,-0.625,155.0,1.0945945945945945
152,contracts specialist,contract manager,0.9878823940760253,417,1030,6.0,-0.625,155.0,1.0945945945945945
153,contracts specialist,contract manager,0.9878823940760253,417,1030,6.0,-0.625,155.0,1.0945945945945945
154,contracts specialist,contract manager,0.9878823940760253,417,1030,6.0,-0.625,155.0,1.0945945945945945
155,commercial,manager,0.9844586078783957,333,64,0.0,,155.0,1.0945945945945945
156,commercial,manager,0.9844586078783957,333,64,0.0,,155.0,1.0945945945945945
157,administrator,manager,0.9902122867614945,12,64,36.0,-0.34545454545454546,155.0,1.0945945945945945
158,administrator,manager,0.9902122867614945,12,64,36.0,-0.34545454545454546,155.0,1.0945945945945945
159,administrator,manager,0.9902122867614945,12,64,36.0,-0.34545454545454546,155.0,1.0945945945945945
160,administrator,manager,0.9902122867614945,12,64,36.0,-0.34545454545454546,155.0,1.0945945945945945
161,project coordinator,manager,0.9864949073296526,275,64,113.0,-0.5,155.0,1.0945945945945945
162,project coordinator,manager,0.9864949073296526,275,64,113.0,-0.5,155.0,1.0945945945945945
163,program manager,manager,0.9891115591034543,269,64,40.0,-0.550561797752809,155.0,1.0945945945945945
164,program manager,manager,0.9891115591034543,269,64,40.0,-0.550561797752809,155.0,1.0945945945945945
165,planner,manager,0.9829461884574133,324,64,11.0,-0.42105263157894735,155.0,1.0945945945945945
166,planner,manager,0.9829461884574133,324,64,11.0,-0.42105263157894735,155.0,1.0945945945945945
167,management,manager,0.9942948690448823,4,64,2.0,-0.9047619047619048,155.0,1.0945945945945945
168,management,manager,0.9942948690448823,4,64,2.0,-0.9047619047619048,155.0,1.0945945945945945
169,manager,manager,1.0,64,64,155.0,1.0945945945945945,155.0,1.0945945945945945
170,manager,manager,1.0,64,64,155.0,1.0945945945945945,155.0,1.0945945945945945
171,manager,manager,1.0,64,64,155.0,1.0945945945945945,155.0,1.0945945945945945
172,manager,manager,1.0,64,64,155.0,1.0945945945945945,155.0,1.0945945945945945
173,contract manager,contract manager,1.0,1030,1030,155.0,1.0945945945945945,155.0,1.0945945945945945
174,contract manager,contract manager,1.0,1030,1030,155.0,1.0945945945945945,155.0,1.0945945945945945
175,contract manager,contract manager,1.0,1030,1030,155.0,1.0945945945945945,155.0,1.0945945945945945
176,contract manager,contract manager,1.0,1030,1030,155.0,1.0945945945945945,155.0,1.0945945945945945
177,analyst,manager,0.9911530285955699,176,64,36.0,0.125,155.0,1.0945945945945945
178,analyst,manager,0.9911530285955699,176,64,36.0,0.125,155.0,1.0945945945945945
179,analyst,manager,0.9911530285955699,176,64,36.0,0.125,155.0,1.0945945945945945
180,analyst,manager,0.9911530285955699,176,64,36.0,0.125,155.0,1.0945945945945945
181,contract analyst,contract manager,0.9869606734720717,1890,1030,36.0,0.125,155.0,1.0945945945945945
182,contract analyst,contract manager,0.9869606734720717,1890,1030,36.0,0.125,155.0,1.0945945945945945
183,contract analyst,contract manager,0.9869606734720717,1890,1030,36.0,0.125,155.0,1.0945945945945945
184,contract analyst,contract manager,0.9869606734720717,1890,1030,36.0,0.125,155.0,1.0945945945945945
185,support specialist,manager,0.9870301956130606,712,64,4.0,-0.2,155.0,1.0945945945945945
186,support specialist,manager,0.9870301956130606,712,64,4.0,-0.2,155.0,1.0945945945945945
187,consultant,manager,0.9918861631340903,13,64,6.0,-0.7142857142857143,155.0,1.0945945945945945
188,consultant,manager,0.9918861631340903,13,64,6.0,-0.7142857142857143,155.0,1.0945945945945945
189,partner,manager,0.9894267976266028,63,64,0.0,,155.0,1.0945945945945945
190,partner,manager,0.9894267976266028,63,64,0.0,,155.0,1.0945945945945945
191,associate director,manager,0.9890712334701135,88,64,4.0,0.3333333333333333,155.0,1.0945945945945945
192,associate director,manager,0.9890712334701135,88,64,4.0,0.3333333333333333,155.0,1.0945945945945945
193,director,manager,0.991114515491692,122,64,16.0,0.45454545454545453,155.0,1.0945945945945945
194,director,manager,0.991114515491692,122,64,16.0,0.45454545454545453,155.0,1.0945945945945945
195,director of operations,manager,0.9921913042274525,221,64,5.0,-0.7058823529411765,155.0,1.0945945945945945
196,director of operations,manager,0.9921913042274525,221,64,5.0,-0.7058823529411765,155.0,1.0945945945945945
197,senior account manager,manager,0.9850561728482935,821,64,1.0,-0.9230769230769231,155.0,1.0945945945945945
