,title_start,title_end,distance,soc_start,soc_end,startingjob_count,startingjob_trend,targetjob_count,targetjob_trend,targetjob_trend_pp,startingjob_trend_pp
0,Attendant,Attendant,1.0,0,0,2.0,-0.6666666666666666,2.0,-0.6666666666666666,-0.6666666666666666,-0.6666666666666666
1,Retail Clerk,Attendant,0.9313857964860516,27,0,6.0,-0.14285714285714285,2.0,-0.6666666666666666,-0.6666666666666666,-0.14285714285714285
2,Service Worker,Attendant,0.9407876256289447,56,0,0.0,,2.0,-0.6666666666666666,-0.6666666666666666,
3,Breakfast Attendant,Attendant,0.9523959781026856,449,0,3.0,-0.8421052631578947,2.0,-0.6666666666666666,-0.6666666666666666,-0.8421052631578947
4,Valet,Attendant,0.943255827602632,754,0,0.0,0.0,2.0,-0.6666666666666666,-0.6666666666666666,0.0
5,Utility Person,Attendant,0.9485691250499648,926,0,1.0,,2.0,-0.6666666666666666,-0.6666666666666666,
6,Valet Parking Attendant,Attendant,0.9131549024299472,950,0,0.0,,2.0,-0.6666666666666666,-0.6666666666666666,
7,Porter,Attendant,0.9512742425351789,1765,0,13.0,0.8571428571428571,2.0,-0.6666666666666666,-0.6666666666666666,0.8571428571428571
8,Bell Attendant,Attendant,0.9315510824735586,2116,0,0.0,,2.0,-0.6666666666666666,-0.6666666666666666,
9,Room Server,Attendant,0.9157460593769238,2231,0,0.0,,2.0,-0.6666666666666666,-0.6666666666666666,
10,Cafeteria Assistant,Attendant,0.9524583282789568,2552,0,0.0,,2.0,-0.6666666666666666,-0.6666666666666666,
11,Attendant,Room Attendant,0.9546145768291203,0,1,2.0,-0.6666666666666666,18.0,-0.6538461538461539,-0.6538461538461539,-0.6666666666666666
12,Porter,Room Attendant,0.9560262709560556,1765,1,13.0,0.8571428571428571,18.0,-0.6538461538461539,-0.6538461538461539,0.8571428571428571
13,Cafeteria Assistant,Room Attendant,0.9421820105504306,2552,1,0.0,,18.0,-0.6538461538461539,-0.6538461538461539,
14,Housekeeper,Room Attendant,0.9775530733809212,213,1,179.0,1.7538461538461538,18.0,-0.6538461538461539,-0.6538461538461539,1.7538461538461538
15,Public Area Attendant,Room Attendant,0.9847685543019244,833,1,0.0,0.0,18.0,-0.6538461538461539,-0.6538461538461539,0.0
16,Cleaner,Room Attendant,0.9656056619777103,891,1,159.0,-0.06470588235294118,18.0,-0.6538461538461539,-0.6538461538461539,-0.06470588235294118
17,Room Attendant,Room Attendant,1.0,1153,1,18.0,-0.6538461538461539,18.0,-0.6538461538461539,-0.6538461538461539,-0.6538461538461539
18,Housekeeping Attendant,Room Attendant,0.9800289604820609,1232,1,49.0,-0.5545454545454546,18.0,-0.6538461538461539,-0.6538461538461539,-0.5545454545454546
19,Line Service Attendant,Room Attendant,0.9212836612004327,1265,1,0.0,0.0,18.0,-0.6538461538461539,-0.6538461538461539,0.0
20,Housekeeping Aide,Room Attendant,0.9618700536070947,1365,1,130.0,4.416666666666667,18.0,-0.6538461538461539,-0.6538461538461539,4.416666666666667
21,Building Attendant,Room Attendant,0.953598621451885,1372,1,1.0,0.0,18.0,-0.6538461538461539,-0.6538461538461539,0.0
22,Parking Attendant,Room Attendant,0.9092159804893248,1627,1,0.0,0.0,18.0,-0.6538461538461539,-0.6538461538461539,0.0
23,Laundry Attendant,Room Attendant,0.9420386315227516,1696,1,6.0,-0.8,18.0,-0.6538461538461539,-0.6538461538461539,-0.8
24,Houseperson,Room Attendant,0.9805256740772799,2557,1,1.0,-0.95,18.0,-0.6538461538461539,-0.6538461538461539,-0.95
25,Attendant,Cafeteria Assistant,0.9524583282789568,0,2,2.0,-0.6666666666666666,0.0,,,-0.6666666666666666
26,Cafeteria Assistant,Cafeteria Assistant,1.0,2552,2,0.0,,0.0,,,
27,Attendant,Breakfast Attendant,0.9523959781026856,0,3,2.0,-0.6666666666666666,3.0,-0.8421052631578947,-0.8421052631578947,-0.6666666666666666
28,Retail Clerk,Breakfast Attendant,0.9264481978743996,27,3,6.0,-0.14285714285714285,3.0,-0.8421052631578947,-0.8421052631578947,-0.14285714285714285
29,Breakfast Attendant,Breakfast Attendant,1.0,449,3,3.0,-0.8421052631578947,3.0,-0.8421052631578947,-0.8421052631578947,-0.8421052631578947
30,Utility Person,Breakfast Attendant,0.9658762049600174,926,3,1.0,,3.0,-0.8421052631578947,-0.8421052631578947,
31,Cafeteria Assistant,Breakfast Attendant,0.9465657137796862,2552,3,0.0,,3.0,-0.8421052631578947,-0.8421052631578947,
32,Kitchen Steward,Breakfast Attendant,0.9543763404599196,9,3,0.0,0.0,3.0,-0.8421052631578947,-0.8421052631578947,0.0
33,Dishwashers,Breakfast Attendant,0.9742286155551017,52,3,4.0,0.3333333333333333,3.0,-0.8421052631578947,-0.8421052631578947,0.3333333333333333
34,Steward,Breakfast Attendant,0.975355758449833,314,3,0.0,0.0,3.0,-0.8421052631578947,-0.8421052631578947,0.0
35,Dish Machine Operator,Breakfast Attendant,0.9484997671415949,1237,3,0.0,,3.0,-0.8421052631578947,-0.8421052631578947,
36,House Worker,Breakfast Attendant,0.95827433760737,2812,3,0.0,,3.0,-0.8421052631578947,-0.8421052631578947,
37,Keeper,Breakfast Attendant,0.95827433760737,2813,3,0.0,,3.0,-0.8421052631578947,-0.8421052631578947,
38,Attendant,Porter,0.9512742425351789,0,4,2.0,-0.6666666666666666,13.0,0.8571428571428571,0.8571428571428571,-0.6666666666666666
39,Valet,Porter,0.9547358648310563,754,4,0.0,0.0,13.0,0.8571428571428571,0.8571428571428571,0.0
40,Valet Parking Attendant,Porter,0.9135804331477737,950,4,0.0,,13.0,0.8571428571428571,0.8571428571428571,
41,Porter,Porter,1.0,1765,4,13.0,0.8571428571428571,13.0,0.8571428571428571,0.8571428571428571,0.8571428571428571
42,Bell Attendant,Porter,0.9477027049501954,2116,4,0.0,,13.0,0.8571428571428571,0.8571428571428571,
43,Cafeteria Assistant,Porter,0.9242187031390934,2552,4,0.0,,13.0,0.8571428571428571,0.8571428571428571,
44,Line Service Attendant,Porter,0.928257281217295,1265,4,0.0,0.0,13.0,0.8571428571428571,0.8571428571428571,0.0
45,Parking Attendant,Porter,0.9204998400164637,1627,4,0.0,0.0,13.0,0.8571428571428571,0.8571428571428571,0.0
46,Groundskeeper,Porter,0.9392474046409767,350,4,7.0,-0.125,13.0,0.8571428571428571,0.8571428571428571,-0.125
47,Washer,Porter,0.90475369476235,740,4,1.0,,13.0,0.8571428571428571,0.8571428571428571,
48,Fueler,Porter,0.9407668981573496,741,4,0.0,,13.0,0.8571428571428571,0.8571428571428571,
49,Pick Up,Porter,0.9416634776342223,890,4,0.0,,13.0,0.8571428571428571,0.8571428571428571,
50,Service Operator,Porter,0.928082547945091,1001,4,0.0,,13.0,0.8571428571428571,0.8571428571428571,
51,Utility Worker,Porter,0.9211046135767567,1099,4,0.0,0.0,13.0,0.8571428571428571,0.8571428571428571,0.0
52,Valet Parker,Porter,0.9126020793532296,2430,4,0.0,,13.0,0.8571428571428571,0.8571428571428571,
53,Janitor Cleaner,Porter,0.9435783832673792,2660,4,0.0,0.0,13.0,0.8571428571428571,0.8571428571428571,0.0
54,Irrigation Technician,Porter,0.906954724586786,2787,4,9.0,-0.3076923076923077,13.0,0.8571428571428571,0.8571428571428571,-0.3076923076923077
55,Attendant,Utility Person,0.9485691250499648,0,5,2.0,-0.6666666666666666,1.0,,,-0.6666666666666666
56,Breakfast Attendant,Utility Person,0.9658762049600174,449,5,3.0,-0.8421052631578947,1.0,,,-0.8421052631578947
57,Utility Person,Utility Person,1.0,926,5,1.0,,1.0,,,
58,Cafeteria Assistant,Utility Person,0.9404289854411669,2552,5,0.0,,1.0,,,
59,Steward,Utility Person,0.9671429223842254,314,5,0.0,0.0,1.0,,,0.0
60,Dish Machine Operator,Utility Person,0.9393914799029459,1237,5,0.0,,1.0,,,
61,Host,Utility Person,0.9527390820880891,8,5,4.0,-0.8787878787878788,1.0,,,-0.8787878787878788
62,Greeter,Utility Person,0.9417322256286009,1151,5,4.0,3.0,1.0,,,3.0
63,Attendant,Public Area Attendant,0.9474267203086267,0,6,2.0,-0.6666666666666666,0.0,0.0,0.0,-0.6666666666666666
64,Porter,Public Area Attendant,0.9545147779823171,1765,6,13.0,0.8571428571428571,0.0,0.0,0.0,0.8571428571428571
65,Housekeeper,Public Area Attendant,0.9769387860871128,213,6,179.0,1.7538461538461538,0.0,0.0,0.0,1.7538461538461538
66,Public Area Attendant,Public Area Attendant,1.0,833,6,0.0,0.0,0.0,0.0,0.0,0.0
67,Cleaner,Public Area Attendant,0.9594102319609469,891,6,159.0,-0.06470588235294118,0.0,0.0,0.0,-0.06470588235294118
68,Room Attendant,Public Area Attendant,0.9847685543019244,1153,6,18.0,-0.6538461538461539,0.0,0.0,0.0,-0.6538461538461539
69,Housekeeping Attendant,Public Area Attendant,0.973638582530294,1232,6,49.0,-0.5545454545454546,0.0,0.0,0.0,-0.5545454545454546
70,Building Attendant,Public Area Attendant,0.9589517048509538,1372,6,1.0,0.0,0.0,0.0,0.0,0.0
71,Parking Attendant,Public Area Attendant,0.9186825279662099,1627,6,0.0,0.0,0.0,0.0,0.0,0.0
72,Laundry Attendant,Public Area Attendant,0.9479281455992112,1696,6,6.0,-0.8,0.0,0.0,0.0,-0.8
